day,month,ShaheenBagh,DTC_bus_terminal,Nangli_Dairy,Jharoda_Kalan,Sanjay_Colony_2,Tekhand2
1,11,0,2447,0,0,2934,0
2,11,0,2839,0,0,1819,1192
3,11,2059,2315,2115,1142,1310,1606
4,11,2283,2040,1512,2252,3008,1232
5,11,2142,2082,2850,2346,3000,1251
6,11,2857,2162,2835,2836,2949,1096
7,11,2848,2707,2837,2849,2899,1225
8,11,2841,2046,2843,2655,2193,1189
9,11,2462,2366,2842,2845,1345,1125
10,11,0,2840,2844,2413,2867,759
11,11,588,2194,2167,2847,2886,1231
12,11,2880,2194,1728,2818,2942,985
13,11,2768,2043,2263,2781,2815,1294
14,11,2092,1399,1737,2081,2129,939
