From Date,To Date,PM2.5,PM10,NO,NO2,NOx
01-11-2021 00:00,01-11-2021 00:15,91,180,29.3,25.3,54.6
01-11-2021 00:15,01-11-2021 00:30,91,180,30.5,26.1,56.6
01-11-2021 00:30,01-11-2021 00:45,91,180,31.1,26.4,57.4
01-11-2021 00:45,01-11-2021 01:00,91,180,30.7,21.7,52.4
01-11-2021 01:00,01-11-2021 01:15,111,194,32.3,22.1,54.3
01-11-2021 01:15,01-11-2021 01:30,111,194,35.4,19,54.3
01-11-2021 01:30,01-11-2021 01:45,111,194,40,21.2,61.2
01-11-2021 01:45,01-11-2021 02:00,111,194,46.8,23.4,70.3
01-11-2021 02:00,01-11-2021 02:15,102,206,None,None,None
01-11-2021 02:15,01-11-2021 02:30,102,206,None,None,None
01-11-2021 02:30,01-11-2021 02:45,102,206,None,None,None
01-11-2021 02:45,01-11-2021 03:00,102,206,54.7,28.8,83.5
01-11-2021 03:00,01-11-2021 03:15,112,183,58.1,27,85.1
01-11-2021 03:15,01-11-2021 03:30,112,183,60.5,27.4,87.8
01-11-2021 03:30,01-11-2021 03:45,112,183,60.8,25.7,86.5
01-11-2021 03:45,01-11-2021 04:00,112,183,58.1,24.5,82.6
01-11-2021 04:00,01-11-2021 04:15,110,180,54.3,24,78.3
01-11-2021 04:15,01-11-2021 04:30,110,180,51.9,26,78
01-11-2021 04:30,01-11-2021 04:45,110,180,53.9,24.4,78.3
01-11-2021 04:45,01-11-2021 05:00,110,180,49.7,28.3,78
01-11-2021 05:00,01-11-2021 05:15,117,200,48.2,29.7,77.9
01-11-2021 05:15,01-11-2021 05:30,117,200,50,30,79.9
01-11-2021 05:30,01-11-2021 05:45,117,200,53.5,27.3,80.8
01-11-2021 05:45,01-11-2021 06:00,117,200,56.7,24.9,81.6
01-11-2021 06:00,01-11-2021 06:15,113,212,60.4,22.8,83.2
01-11-2021 06:15,01-11-2021 06:30,113,212,66.4,18.3,84.7
01-11-2021 06:30,01-11-2021 06:45,113,212,70,18.9,88.9
01-11-2021 06:45,01-11-2021 07:00,113,212,73.2,23.3,96.5
01-11-2021 07:00,01-11-2021 07:15,133,232,74.2,26,100.3
01-11-2021 07:15,01-11-2021 07:30,133,232,78.7,26.1,104.8
01-11-2021 07:30,01-11-2021 07:45,133,232,81.5,26.8,108.3
01-11-2021 07:45,01-11-2021 08:00,133,232,79.9,28.8,108.7
01-11-2021 08:00,01-11-2021 08:15,141,241,69.7,31.7,101.4
01-11-2021 08:15,01-11-2021 08:30,141,241,57.3,36.2,93.5
01-11-2021 08:30,01-11-2021 08:45,141,241,45.9,36.6,82.5
01-11-2021 08:45,01-11-2021 09:00,141,241,29.7,38.1,67.8
