From Date,To Date,PM2.5,PM10,NO,NO2,NOx
01-11-2021 00:00,01-11-2021 00:15,133,333,207.2,98.3,221.2
01-11-2021 00:15,01-11-2021 00:30,133,333,233.9,89.9,238.8
01-11-2021 00:30,01-11-2021 00:45,133,333,197.1,95,211.5
01-11-2021 00:45,01-11-2021 01:00,117,282,166.1,93.2,185.1
01-11-2021 01:00,01-11-2021 01:15,117,282,140.3,81.2,158.9
01-11-2021 01:15,01-11-2021 01:30,117,282,171.6,74.6,178.5
01-11-2021 01:30,01-11-2021 01:45,117,282,276.5,81.7,269
01-11-2021 01:45,01-11-2021 02:00,135,335,235.3,71.5,230.1
01-11-2021 02:00,01-11-2021 02:15,135,335,None,None,None
01-11-2021 02:15,01-11-2021 02:30,135,335,None,None,None
01-11-2021 02:30,01-11-2021 02:45,135,335,None,None,None
01-11-2021 02:45,01-11-2021 03:00,132,384,213.4,67.7,210.2
01-11-2021 03:00,01-11-2021 03:15,132,384,160.6,70.5,169.5
01-11-2021 03:15,01-11-2021 03:30,132,384,136.2,66.6,146.4
01-11-2021 03:30,01-11-2021 03:45,132,384,111.9,72.1,129.3
01-11-2021 03:45,01-11-2021 04:00,140,331,100.6,70.1,119.4
01-11-2021 04:00,01-11-2021 04:15,140,331,81.5,70.8,104.2
01-11-2021 04:15,01-11-2021 04:30,140,331,72.3,69.9,95.9
01-11-2021 04:30,01-11-2021 04:45,140,331,66.1,65.6,88.6
01-11-2021 04:45,01-11-2021 05:00,177,356,63.6,68.1,88.2
01-11-2021 05:00,01-11-2021 05:15,177,356,45.3,65,71.5
01-11-2021 05:15,01-11-2021 05:30,177,356,48.9,64.1,73.7
01-11-2021 05:30,01-11-2021 05:45,177,356,56.2,65.1,80
01-11-2021 05:45,01-11-2021 06:00,134,261,54.2,68,80.6
01-11-2021 06:00,01-11-2021 06:15,134,261,53.9,62.8,76.9
01-11-2021 06:15,01-11-2021 06:30,134,261,92.3,62.1,108.6
01-11-2021 06:30,01-11-2021 06:45,134,261,179.4,71.3,184.6
01-11-2021 06:45,01-11-2021 07:00,130,285,185.9,59.9,183.8
01-11-2021 07:00,01-11-2021 07:15,130,285,265.7,58.4,247.4
01-11-2021 07:15,01-11-2021 07:30,130,285,407.1,66.4,367.2
01-11-2021 07:30,01-11-2021 07:45,130,285,406.9,60.3,363.9
01-11-2021 07:45,01-11-2021 08:00,179,500,368.1,71.5,338.7
01-11-2021 08:00,01-11-2021 08:15,179,500,383.7,68.1,349.2
01-11-2021 08:15,01-11-2021 08:30,179,500,350.9,83.1,330.5
01-11-2021 08:30,01-11-2021 08:45,179,500,294.4,80.2,282.8
01-11-2021 08:45,01-11-2021 09:00,212,556,198.5,92.3,211.1
01-11-2021 09:00,01-11-2021 09:15,212,556,117.7,106.9,153.4
01-11-2021 09:15,01-11-2021 09:30,212,556,88.4,106.2,128.8
01-11-2021 09:30,01-11-2021 09:45,212,556,76.7,110.4,121.1
01-11-2021 09:45,01-11-2021 10:00,174,554,52,110.9,101.4
01-11-2021 10:00,01-11-2021 10:15,174,554,35.7,113.5,89.7
01-11-2021 10:15,01-11-2021 10:30,174,554,25.3,112.7,80.5
01-11-2021 10:30,01-11-2021 10:45,174,554,20.1,117.3,78.7
01-11-2021 10:45,01-11-2021 11:00,184,448,11.2,119.3,72.6
01-11-2021 11:00,01-11-2021 11:15,184,448,8.3,122,71.7
01-11-2021 11:15,01-11-2021 11:30,184,448,7.5,112.8,66.1
01-11-2021 11:30,01-11-2021 11:45,184,448,5.8,108.4,62.2
01-11-2021 11:45,01-11-2021 12:00,168,404,4.6,78,45.4
