From Date,To Date,Toluene,Temp,RH,WS,WD
01-10-2021 00:00,01-10-2021 00:15,1.6,None,78.9,0.5,186.9
01-10-2021 00:15,01-10-2021 00:30,1.4,None,79.2,0.7,174.4
01-10-2021 00:30,01-10-2021 00:45,1.3,None,79.2,0.7,173.2
01-10-2021 00:45,01-10-2021 01:00,1.4,None,79.3,0.2,128
01-10-2021 01:00,01-10-2021 01:15,1.4,None,79.1,0.4,41.9
01-10-2021 01:15,01-10-2021 01:30,1.4,None,79.3,0.4,356.4
01-10-2021 01:30,01-10-2021 01:45,1.5,None,79.3,0.4,337.1
01-10-2021 01:45,01-10-2021 02:00,1.4,None,79.4,0.4,354.8
01-10-2021 02:00,01-10-2021 02:15,1.2,None,79.4,0.4,48.8
01-10-2021 02:15,01-10-2021 02:30,1.1,None,79.5,0.2,199.4
01-10-2021 02:30,01-10-2021 02:45,1.4,None,79.5,0.2,99.6
01-10-2021 02:45,01-10-2021 03:00,1.3,None,79.5,0.7,66.5
01-10-2021 03:00,01-10-2021 03:15,1.4,None,79.5,0.9,108
01-10-2021 03:15,01-10-2021 03:30,1.4,None,79.8,0.8,128.6
01-10-2021 03:30,01-10-2021 03:45,1.6,None,80.3,0.6,144.6
01-10-2021 03:45,01-10-2021 04:00,1.8,None,80.2,0.3,152.1
01-10-2021 04:00,01-10-2021 04:15,2.1,None,80.2,0.4,11.5
01-10-2021 04:15,01-10-2021 04:30,1.8,None,80.2,0.4,354
01-10-2021 04:30,01-10-2021 04:45,2,None,80.3,0.6,21.4
01-10-2021 04:45,01-10-2021 05:00,1.7,None,80.2,0.4,10.4
01-10-2021 05:00,01-10-2021 05:15,1.7,None,80.4,0.4,352.6
01-10-2021 05:15,01-10-2021 05:30,1.6,None,80.2,0.4,348.3
01-10-2021 05:30,01-10-2021 05:45,1.3,None,80.5,0.5,37.3
01-10-2021 05:45,01-10-2021 06:00,1.2,None,80.6,0.7,21.7
01-10-2021 06:00,01-10-2021 06:15,1.3,None,80.6,0.3,358
01-10-2021 06:15,01-10-2021 06:30,1.6,None,80.5,0.4,157.7
01-10-2021 06:30,01-10-2021 06:45,1.5,None,80.7,0.5,195.4
01-10-2021 06:45,01-10-2021 07:00,1.4,None,80.7,0.3,252.3
01-10-2021 07:00,01-10-2021 07:15,1.3,None,80,0.2,14.8
01-10-2021 07:15,01-10-2021 07:30,1.4,None,79.3,0.1,145.4
01-10-2021 07:30,01-10-2021 07:45,1.5,None,77.6,0.1,293.5
01-10-2021 07:45,01-10-2021 08:00,1.7,None,73.4,0.4,167.9
01-10-2021 08:00,01-10-2021 08:15,1.8,None,69.1,0.5,175.4
01-10-2021 08:15,01-10-2021 08:30,2,None,65,0.6,181.3
01-10-2021 08:30,01-10-2021 08:45,1.7,None,60.9,0.6,163.4
01-10-2021 08:45,01-10-2021 09:00,1.3,None,57.4,0.6,147
01-10-2021 09:00,01-10-2021 09:15,1.1,None,54.6,0.2,232.1
01-10-2021 09:15,01-10-2021 09:30,1,None,54,0.1,242.9
01-10-2021 09:30,01-10-2021 09:45,1,None,53.2,1.1,255.2
01-10-2021 09:45,01-10-2021 10:00,1.1,None,53.2,1.5,256.1
01-10-2021 10:00,01-10-2021 10:15,1,None,52.7,1.6,260.6
01-10-2021 10:15,01-10-2021 10:30,0.8,None,52,1.5,261.9
01-10-2021 10:30,01-10-2021 10:45,0.5,None,52.4,1.2,266.3
01-10-2021 10:45,01-10-2021 11:00,0.5,None,51.4,0.9,260.6
01-10-2021 11:00,01-10-2021 11:15,0.5,None,49.1,0.7,261.8
01-10-2021 11:15,01-10-2021 11:30,0.4,None,48.5,1.3,264.4
01-10-2021 11:30,01-10-2021 11:45,0.4,None,47.7,1.2,308.1
01-10-2021 11:45,01-10-2021 12:00,0.3,None,46.4,1.2,281
01-10-2021 12:00,01-10-2021 12:15,0.3,None,45,0.8,277.4
01-10-2021 12:15,01-10-2021 12:30,0.3,None,44.9,0.9,271.4
01-10-2021 12:30,01-10-2021 12:45,0.2,None,44.9,0.8,315.2
01-10-2021 12:45,01-10-2021 13:00,0.2,None,46.4,0.5,285
01-10-2021 13:00,01-10-2021 13:15,0.2,None,47.7,0.6,0.6
01-10-2021 13:15,01-10-2021 13:30,0.3,None,49.5,1.2,301.3
01-10-2021 13:30,01-10-2021 13:45,0.3,None,46.3,0.9,335.1
01-10-2021 13:45,01-10-2021 14:00,0.2,None,46.3,1.6,341.9
01-10-2021 14:00,01-10-2021 14:15,0.2,None,48.2,1.3,352.2
01-10-2021 14:15,01-10-2021 14:30,0.2,None,47.9,1.6,13.4
01-10-2021 14:30,01-10-2021 14:45,0.2,None,49.5,1.8,1
01-10-2021 14:45,01-10-2021 15:00,0.1,None,49.2,1.3,25
01-10-2021 15:00,01-10-2021 15:15,0.1,None,49,0.9,3.2
01-10-2021 15:15,01-10-2021 15:30,0.2,None,50.8,0.9,117.3
01-10-2021 15:30,01-10-2021 15:45,0.2,None,51.4,0.9,106.3
01-10-2021 15:45,01-10-2021 16:00,0.4,None,54,2.5,160.9
