From Date,To Date,Toluene,Temp,RH,WS,WD
01-11-2021 00:00,01-11-2021 00:15,95.8,None,64.9,0.3,85.7
01-11-2021 00:15,01-11-2021 00:30,97.5,None,65.6,0.3,85.8
01-11-2021 00:30,01-11-2021 00:45,89.7,None,66.9,0.3,85.7
01-11-2021 00:45,01-11-2021 01:00,85.9,None,68.1,0.3,85.9
01-11-2021 01:00,01-11-2021 01:15,84.1,None,69.5,0.3,85.9
01-11-2021 01:15,01-11-2021 01:30,81.2,None,71.1,0.4,85.8
01-11-2021 01:30,01-11-2021 01:45,85.2,None,72.1,0.8,52.9
01-11-2021 01:45,01-11-2021 02:00,98.2,None,71.3,0.7,24.8
01-11-2021 02:00,01-11-2021 02:15,103.5,None,72.3,0.4,24.8
01-11-2021 02:15,01-11-2021 02:30,96.3,None,73.6,0.4,24.8
01-11-2021 02:30,01-11-2021 02:45,90,None,73.6,1,24.9
01-11-2021 02:45,01-11-2021 03:00,89.5,None,72.6,0.6,24.8
01-11-2021 03:00,01-11-2021 03:15,87.9,None,70.5,0.5,24.8
01-11-2021 03:15,01-11-2021 03:30,84.5,None,70.7,0.8,25.4
01-11-2021 03:30,01-11-2021 03:45,78.9,None,70.2,1.2,26.1
01-11-2021 03:45,01-11-2021 04:00,79.1,None,69.9,0.9,26.4
01-11-2021 04:00,01-11-2021 04:15,80.5,None,69,0.9,26.5
01-11-2021 04:15,01-11-2021 04:30,77.8,None,69.6,0.5,26.5
01-11-2021 04:30,01-11-2021 04:45,76.9,None,70.3,0.9,26.7
01-11-2021 04:45,01-11-2021 05:00,75.2,None,69.5,1.1,26.3
01-11-2021 05:00,01-11-2021 05:15,75.5,None,68.3,0.9,26.6
01-11-2021 05:15,01-11-2021 05:30,73.4,None,67.4,0.8,26.4
01-11-2021 05:30,01-11-2021 05:45,67.3,None,67.9,0.7,25.7
01-11-2021 05:45,01-11-2021 06:00,60,None,67.9,0.8,25.7
01-11-2021 06:00,01-11-2021 06:15,54,None,69.3,0.5,25.7
01-11-2021 06:15,01-11-2021 06:30,50.1,None,71.4,0.3,25.7
01-11-2021 06:30,01-11-2021 06:45,47,None,73.2,0.3,25.7
01-11-2021 06:45,01-11-2021 07:00,46.1,None,74.6,0.3,25.7
01-11-2021 07:00,01-11-2021 07:15,47.6,None,76.1,0.3,25.7
01-11-2021 07:15,01-11-2021 07:30,49.7,None,73,0.3,25.7
01-11-2021 07:30,01-11-2021 07:45,54,None,73,0.4,25.7
01-11-2021 07:45,01-11-2021 08:00,58.1,None,71.1,1.1,26
01-11-2021 08:00,01-11-2021 08:15,63,None,70,0.4,344.3
01-11-2021 08:15,01-11-2021 08:30,69.2,None,68.3,0.9,277.9
01-11-2021 08:30,01-11-2021 08:45,75.4,None,66,0.8,277.9
01-11-2021 08:45,01-11-2021 09:00,78.9,None,60.7,1.3,304.2
01-11-2021 09:00,01-11-2021 09:15,76.1,None,56,2.4,17.3
01-11-2021 09:15,01-11-2021 09:30,70.2,None,54.4,2.4,18.5
01-11-2021 09:30,01-11-2021 09:45,65.7,None,52.4,2.6,15.6
01-11-2021 09:45,01-11-2021 10:00,61.6,None,49.7,2.3,19.3
01-11-2021 10:00,01-11-2021 10:15,59.5,None,48.3,2.6,16.5
01-11-2021 10:15,01-11-2021 10:30,57.2,None,46.1,2.2,13.1
01-11-2021 10:30,01-11-2021 10:45,56.4,None,44.8,2.6,25.1
01-11-2021 10:45,01-11-2021 11:00,56.5,None,44.1,2.1,16.5
01-11-2021 11:00,01-11-2021 11:15,58.5,None,42.6,2.1,18.2
01-11-2021 11:15,01-11-2021 11:30,60.7,None,41.6,2.3,14.1
01-11-2021 11:30,01-11-2021 11:45,61.2,None,40.9,2.5,22.6
01-11-2021 11:45,01-11-2021 12:00,62,None,40.5,1.9,19.9
01-11-2021 12:00,01-11-2021 12:15,57.1,None,39.9,2.2,17.1
