From Date,To Date,PM2.5,PM10,NO,NO2,NOx
01-10-2021 00:00,01-10-2021 00:15,48,160,87.5,56.6,101.1
01-10-2021 00:15,01-10-2021 00:30,48,160,71.3,52.1,85.5
01-10-2021 00:30,01-10-2021 00:45,48,160,95.4,58.2,108.9
01-10-2021 00:45,01-10-2021 01:00,51,130,90.8,57.5,104.7
01-10-2021 01:00,01-10-2021 01:15,51,130,101,51.5,109.8
01-10-2021 01:15,01-10-2021 01:30,51,130,122.4,50.8,126.9
01-10-2021 01:30,01-10-2021 01:45,51,130,159.2,44.6,153.9
01-10-2021 01:45,01-10-2021 02:00,69,201,196.7,50.1,187
01-10-2021 02:00,01-10-2021 02:15,69,201,None,None,None
01-10-2021 02:15,01-10-2021 02:30,69,201,None,None,None
01-10-2021 02:30,01-10-2021 02:45,69,201,None,None,None
01-10-2021 02:45,01-10-2021 03:00,85,216,145.8,43.4,144.3
01-10-2021 03:00,01-10-2021 03:15,85,216,200.3,58,193.5
01-10-2021 03:15,01-10-2021 03:30,85,216,171.1,46.8,164.3
01-10-2021 03:30,01-10-2021 03:45,85,216,166.5,45.8,160
01-10-2021 03:45,01-10-2021 04:00,101,299,158.7,52.5,157.2
01-10-2021 04:00,01-10-2021 04:15,101,299,158.3,53.6,157.5
01-10-2021 04:15,01-10-2021 04:30,101,299,154.8,51.3,153.5
01-10-2021 04:30,01-10-2021 04:45,101,299,150.1,49.4,148.8
01-10-2021 04:45,01-10-2021 05:00,95,241,188.9,41.5,177.2
01-10-2021 05:00,01-10-2021 05:15,95,241,257.5,43.2,233.2
01-10-2021 05:15,01-10-2021 05:30,95,241,170.3,35.7,157.9
01-10-2021 05:30,01-10-2021 05:45,95,241,155.3,34.8,145.2
01-10-2021 05:45,01-10-2021 06:00,90,218,135.3,40.3,131.5
01-10-2021 06:00,01-10-2021 06:15,90,218,118.8,39.4,117.9
01-10-2021 06:15,01-10-2021 06:30,90,218,100.1,36.8,101.1
01-10-2021 06:30,01-10-2021 06:45,90,218,87.5,35.8,90.4
01-10-2021 06:45,01-10-2021 07:00,77,199,278.5,37.5,246.8
01-10-2021 07:00,01-10-2021 07:15,77,199,225.8,41.6,204.6
01-10-2021 07:15,01-10-2021 07:30,77,199,94.6,54.9,106
01-10-2021 07:30,01-10-2021 07:45,77,199,60.4,50.4,76.1
01-10-2021 07:45,01-10-2021 08:00,52,130,41.7,40.2,55.2
01-10-2021 08:00,01-10-2021 08:15,52,130,27.4,37.8,42.4
01-10-2021 08:15,01-10-2021 08:30,52,130,22.1,41.7,40.2
01-10-2021 08:30,01-10-2021 08:45,52,130,15.6,42.3,35.2
01-10-2021 08:45,01-10-2021 09:00,47,461,8.7,38,27.4
01-10-2021 09:00,01-10-2021 09:15,47,461,9.5,40.6,29.2
01-10-2021 09:15,01-10-2021 09:30,47,461,6.2,36.8,24.6
01-10-2021 09:30,01-10-2021 09:45,47,461,4.7,39.1,24.6
01-10-2021 09:45,01-10-2021 10:00,42,117,4.1,37.9,23.5
01-10-2021 10:00,01-10-2021 10:15,42,117,4.6,36.3,23
01-10-2021 10:15,01-10-2021 10:30,42,117,3.8,30.4,19.3
01-10-2021 10:30,01-10-2021 10:45,42,117,2.9,28.6,17.5
01-10-2021 10:45,01-10-2021 11:00,47,122,2.8,31.7,19.1
01-10-2021 11:00,01-10-2021 11:15,47,122,3.8,35.5,22
01-10-2021 11:15,01-10-2021 11:30,47,122,2.9,30.6,18.7
01-10-2021 11:30,01-10-2021 11:45,47,122,3.1,27.7,17.2
01-10-2021 11:45,01-10-2021 12:00,39,99,3.7,30.8,19.4
01-10-2021 12:00,01-10-2021 12:15,39,99,5.1,31.6,21
01-10-2021 12:15,01-10-2021 12:30,39,99,3.1,26.4,16.6
01-10-2021 12:30,01-10-2021 12:45,39,99,1.8,19,11.5
01-10-2021 12:45,01-10-2021 13:00,25,64,1.8,23.6,14.1
01-10-2021 13:00,01-10-2021 13:15,25,64,1.1,18.7,10.9
01-10-2021 13:15,01-10-2021 13:30,25,64,1.2,23.9,13.7
01-10-2021 13:30,01-10-2021 13:45,25,64,1.5,21.2,12.5
01-10-2021 13:45,01-10-2021 14:00,29,79,1.6,23.1,13.6
01-10-2021 14:00,01-10-2021 14:15,29,79,2.4,32.7,19.4
01-10-2021 14:15,01-10-2021 14:30,29,79,9.2,46.7,32.6
01-10-2021 14:30,01-10-2021 14:45,29,79,8.8,48.1,32.7
01-10-2021 14:45,01-10-2021 15:00,25,59,5.2,46.3,28.8
01-10-2021 15:00,01-10-2021 15:15,25,59,28.9,57.1,54
01-10-2021 15:15,01-10-2021 15:30,25,59,16.7,50.9,40.7
01-10-2021 15:30,01-10-2021 15:45,25,59,6.8,48.7,31.3
01-10-2021 15:45,01-10-2021 16:00,29,103,3.4,48.3,28.5
01-10-2021 16:00,01-10-2021 16:15,29,103,2.7,44,25.6
01-10-2021 16:15,01-10-2021 16:30,29,103,2.3,39.8,23.1
01-10-2021 16:30,01-10-2021 16:45,29,103,2,41.2,23.6
01-10-2021 16:45,01-10-2021 17:00,36,96,1.9,47.9,26.6
01-10-2021 17:00,01-10-2021 17:15,36,96,2.9,61.2,35
01-10-2021 17:15,01-10-2021 17:30,36,96,3.9,63.8,37
01-10-2021 17:30,01-10-2021 17:45,36,96,4.3,68.1,39.7
01-10-2021 17:45,01-10-2021 18:00,44,153,4.5,77,44.6
01-10-2021 18:00,01-10-2021 18:15,44,153,8,97.1,58.1
01-10-2021 18:15,01-10-2021 18:30,44,153,15.1,88.4,59.4
01-10-2021 18:30,01-10-2021 18:45,44,153,44.4,92.7,85.4
01-10-2021 18:45,01-10-2021 19:00,51,173,43.7,88,82.5
01-10-2021 19:00,01-10-2021 19:15,51,173,29.7,80.6,67
01-10-2021 19:15,01-10-2021 19:30,51,173,32.8,75.2,66.8
01-10-2021 19:30,01-10-2021 19:45,51,173,43.9,82.1,79.4
01-10-2021 19:45,01-10-2021 20:00,74,205,55.4,76,85.3
01-10-2021 20:00,01-10-2021 20:15,74,205,66.1,71.9,92.4
01-10-2021 20:15,01-10-2021 20:30,74,205,80.8,81.4,108.8
01-10-2021 20:30,01-10-2021 20:45,74,205,68.6,79.3,98
01-10-2021 20:45,01-10-2021 21:00,64,226,88,76.3,112.3
01-10-2021 21:00,01-10-2021 21:15,64,226,105.7,82.3,129.1
01-10-2021 21:15,01-10-2021 21:30,64,226,91.6,74.7,114.3
01-10-2021 21:30,01-10-2021 21:45,64,226,145.9,82.7,162.9
01-10-2021 21:45,01-10-2021 22:00,70,228,149.3,77.8,163.2
01-10-2021 22:00,01-10-2021 22:15,70,228,146.4,74.3,158.8
01-10-2021 22:15,01-10-2021 22:30,70,228,116.6,68.4,131.4
01-10-2021 22:30,01-10-2021 22:45,70,228,112.3,65.4,126.2
01-10-2021 22:45,01-10-2021 23:00,69,201,93.5,66.6,111.7
01-10-2021 23:00,01-10-2021 23:15,69,201,85.4,64.9,103.9
01-10-2021 23:15,01-10-2021 23:30,69,201,107,62.8,120.7
01-10-2021 23:30,01-10-2021 23:45,69,201,121.4,62.2,131.7
01-10-2021 23:45,02-10-2021 00:00,63,216,129.7,69.5,142.7
02-10-2021 00:00,02-10-2021 00:15,63,216,89.3,67.3,108.5
02-10-2021 00:15,02-10-2021 00:30,63,216,65.8,63.1,87.2
02-10-2021 00:30,02-10-2021 00:45,63,216,67.8,62.1,88.3
02-10-2021 00:45,02-10-2021 01:00,61,150,70.2,58.3,88.3
02-10-2021 01:00,02-10-2021 01:15,61,150,92.5,48.8,100.9
02-10-2021 01:15,02-10-2021 01:30,61,150,99.2,57.7,111.4
02-10-2021 01:30,02-10-2021 01:45,61,150,106.4,62.8,119.9
02-10-2021 01:45,02-10-2021 02:00,58,175,88.3,54.9,101.5
02-10-2021 02:00,02-10-2021 02:15,58,175,None,None,None
02-10-2021 02:15,02-10-2021 02:30,58,175,None,None,None
02-10-2021 02:30,02-10-2021 02:45,58,175,None,None,None
02-10-2021 02:45,02-10-2021 03:00,55,132,85.4,60,101.6
02-10-2021 03:00,02-10-2021 03:15,55,132,88.5,59.9,104.1
02-10-2021 03:15,02-10-2021 03:30,55,132,90.8,60.3,106.1
02-10-2021 03:30,02-10-2021 03:45,55,132,99.3,60.9,113.6
02-10-2021 03:45,02-10-2021 04:00,66,151,105.7,66.6,121.8
02-10-2021 04:00,02-10-2021 04:15,66,151,159,59.2,161
02-10-2021 04:15,02-10-2021 04:30,66,151,180.6,53.3,175.5
02-10-2021 04:30,02-10-2021 04:45,66,151,147.5,60.4,152.3
02-10-2021 04:45,02-10-2021 05:00,79,186,140.5,59,145.8
02-10-2021 05:00,02-10-2021 05:15,79,186,221.5,48.2,206.8
02-10-2021 05:15,02-10-2021 05:30,79,186,144.8,62.9,153.7
02-10-2021 05:30,02-10-2021 05:45,79,186,260.1,43.2,242.8
02-10-2021 05:45,02-10-2021 06:00,97,235,257.4,48.9,233.7
02-10-2021 06:00,02-10-2021 06:15,97,235,158.8,48.9,156.7
02-10-2021 06:15,02-10-2021 06:30,97,235,103.4,39.1,105.3
02-10-2021 06:30,02-10-2021 06:45,97,235,71,39.1,78.7
02-10-2021 06:45,02-10-2021 07:00,59,136,52.4,38.8,63.3
02-10-2021 07:00,02-10-2021 07:15,59,136,54,40.9,65.5
02-10-2021 07:15,02-10-2021 07:30,59,136,42.2,35.8,53.4
02-10-2021 07:30,02-10-2021 07:45,59,136,32.6,36.3,45.9
02-10-2021 07:45,02-10-2021 08:00,38,105,24.2,36.3,39.2
02-10-2021 08:00,02-10-2021 08:15,38,105,19.6,35.6,34.9
02-10-2021 08:15,02-10-2021 08:30,38,105,15.3,37.1,32
02-10-2021 08:30,02-10-2021 08:45,38,105,13.1,34.4,28.9
02-10-2021 08:45,02-10-2021 09:00,34,90,12,33.2,27.5
02-10-2021 09:00,02-10-2021 09:15,34,90,9.9,35.1,26.7
02-10-2021 09:15,02-10-2021 09:30,34,90,7.4,40.3,27.4
02-10-2021 09:30,02-10-2021 09:45,34,90,7.2,37.4,25.7
02-10-2021 09:45,02-10-2021 10:00,42,108,5.7,39.5,25.7
02-10-2021 10:00,02-10-2021 10:15,42,108,5.1,40.5,25.8
02-10-2021 10:15,02-10-2021 10:30,42,108,4.5,39.2,24.6
02-10-2021 10:30,02-10-2021 10:45,42,108,4.6,36.8,23.4
02-10-2021 10:45,02-10-2021 11:00,46,116,3.7,34.4,21.4
02-10-2021 11:00,02-10-2021 11:15,46,116,2.2,33,19.3
02-10-2021 11:15,02-10-2021 11:30,46,116,2.6,31.7,19
02-10-2021 11:30,02-10-2021 11:45,46,116,2.1,30.5,18
02-10-2021 11:45,02-10-2021 12:00,45,96,1.8,27.1,15.9
02-10-2021 12:00,02-10-2021 12:15,45,96,2.3,28.2,16.9
02-10-2021 12:15,02-10-2021 12:30,45,96,2.7,24.3,15.2
02-10-2021 12:30,02-10-2021 12:45,45,96,1.8,23.8,14.1
02-10-2021 12:45,02-10-2021 13:00,41,103,1.8,24.7,14.6
02-10-2021 13:00,02-10-2021 13:15,41,103,2,24,14.4
02-10-2021 13:15,02-10-2021 13:30,41,103,2.1,22,13.5
02-10-2021 13:30,02-10-2021 13:45,41,103,2,21,12.8
02-10-2021 13:45,02-10-2021 14:00,40,83,2,22.3,13.5
02-10-2021 14:00,02-10-2021 14:15,40,83,1.8,22,13.2
02-10-2021 14:15,02-10-2021 14:30,40,83,1.6,21.7,12.9
02-10-2021 14:30,02-10-2021 14:45,40,83,1.1,20.7,12
02-10-2021 14:45,02-10-2021 15:00,42,85,0.7,23.2,12.9
02-10-2021 15:00,02-10-2021 15:15,42,85,0.3,24.6,13.4
02-10-2021 15:15,02-10-2021 15:30,42,85,1,24,13.6
02-10-2021 15:30,02-10-2021 15:45,42,85,1.2,25.5,14.6
02-10-2021 15:45,02-10-2021 16:00,35,77,1.8,31.5,18.2
02-10-2021 16:00,02-10-2021 16:15,35,77,2.1,32.7,19.2
02-10-2021 16:15,02-10-2021 16:30,35,77,2,34.3,19.9
02-10-2021 16:30,02-10-2021 16:45,35,77,2,34.7,20.1
02-10-2021 16:45,02-10-2021 17:00,40,91,2.7,44.8,26
02-10-2021 17:00,02-10-2021 17:15,40,91,3.3,47.2,27.8
02-10-2021 17:15,02-10-2021 17:30,40,91,3.4,47.5,28
02-10-2021 17:30,02-10-2021 17:45,40,91,3.2,49.5,28.9
02-10-2021 17:45,02-10-2021 18:00,38,106,2.6,50.3,28.8
02-10-2021 18:00,02-10-2021 18:15,38,106,2.4,58.2,32.9
02-10-2021 18:15,02-10-2021 18:30,38,106,3.7,71,40.6
02-10-2021 18:30,02-10-2021 18:45,38,106,3.7,71.9,41.3
02-10-2021 18:45,02-10-2021 19:00,45,114,6.2,82.2,48.7
02-10-2021 19:00,02-10-2021 19:15,45,114,8.3,80.4,49.6
02-10-2021 19:15,02-10-2021 19:30,45,114,10.9,79.1,50.9
02-10-2021 19:30,02-10-2021 19:45,45,114,14,78,52.8
02-10-2021 19:45,02-10-2021 20:00,63,130,17.8,79.9,57
02-10-2021 20:00,02-10-2021 20:15,63,130,14.9,79.8,54.5
02-10-2021 20:15,02-10-2021 20:30,63,130,11.8,75.5,49.8
02-10-2021 20:30,02-10-2021 20:45,63,130,10.5,76.4,49.2
02-10-2021 20:45,02-10-2021 21:00,53,138,11.3,78.8,51.2
02-10-2021 21:00,02-10-2021 21:15,53,138,26,76.1,61.7
02-10-2021 21:15,02-10-2021 21:30,53,138,32.1,80.5,69
02-10-2021 21:30,02-10-2021 21:45,53,138,30.6,76.5,66
02-10-2021 21:45,02-10-2021 22:00,73,149,75.1,68.1,97.5
02-10-2021 22:00,02-10-2021 22:15,73,149,73.9,72.6,98.9
02-10-2021 22:15,02-10-2021 22:30,73,149,71.9,75.2,98.6
02-10-2021 22:30,02-10-2021 22:45,73,149,63.4,69.2,88.5
02-10-2021 22:45,02-10-2021 23:00,72,153,67.8,65.4,90
02-10-2021 23:00,02-10-2021 23:15,72,153,80.8,68.3,102.3
