"pm1_0","pm2_5","pm10","temp","humid","ps","createdAt","localtime"
109,181,214,17.84,118.99,994.29,1638297006070,"2021-12-01T00:00:06+05:30"
112,188,215,17.85,118.99,994.3,1638297036613,"2021-12-01T00:00:36+05:30"
112,184,217,17.84,118.99,994.3,1638297067214,"2021-12-01T00:01:07+05:30"
109,183,218,17.78,118.99,994.28,1638297097764,"2021-12-01T00:01:37+05:30"
110,183,202,17.75,118.99,994.27,1638297128342,"2021-12-01T00:02:08+05:30"
111,185,217,17.73,118.99,994.28,1638297158951,"2021-12-01T00:02:38+05:30"
112,183,216,17.74,118.99,994.27,1638297189535,"2021-12-01T00:03:09+05:30"
112,186,219,17.75,118.99,994.26,1638297220082,"2021-12-01T00:03:40+05:30"
112,181,205,17.75,118.99,994.25,1638297400076,"2021-12-01T00:06:40+05:30"
116,185,215,17.73,118.99,994.24,1638297430630,"2021-12-01T00:07:10+05:30"
115,188,211,17.71,118.99,994.24,1638297461243,"2021-12-01T00:07:41+05:30"
115,184,213,17.7,118.99,994.22,1638297491805,"2021-12-01T00:08:11+05:30"
117,179,207,17.7,118.99,994.21,1638297522361,"2021-12-01T00:08:42+05:30"
114,185,215,17.7,118.99,994.19,1638297553205,"2021-12-01T00:09:13+05:30"
115,187,214,17.69,118.99,994.19,1638297584099,"2021-12-01T00:09:44+05:30"
112,183,214,17.67,118.99,994.17,1638297614526,"2021-12-01T00:10:14+05:30"
110,180,208,17.66,118.99,994.15,1638297645105,"2021-12-01T00:10:45+05:30"
111,181,212,17.67,118.99,994.16,1638297675611,"2021-12-01T00:11:15+05:30"
110,185,218,17.66,118.99,994.14,1638297706220,"2021-12-01T00:11:46+05:30"
114,182,213,17.68,118.99,994.13,1638297736800,"2021-12-01T00:12:16+05:30"
111,180,211,17.69,118.99,994.11,1638297767370,"2021-12-01T00:12:47+05:30"
113,188,217,17.71,118.99,994.11,1638297797968,"2021-12-01T00:13:17+05:30"
112,182,206,17.71,118.99,994.1,1638297828561,"2021-12-01T00:13:48+05:30"
112,183,208,17.68,118.99,994.1,1638297859140,"2021-12-01T00:14:19+05:30"
114,185,211,17.66,118.99,994.11,1638297889815,"2021-12-01T00:14:49+05:30"
113,179,209,17.66,118.99,994.08,1638297920489,"2021-12-01T00:15:20+05:30"
114,180,212,17.63,118.99,994.08,1638297950909,"2021-12-01T00:15:50+05:30"
114,185,216,17.61,118.99,994.08,1638297981476,"2021-12-01T00:16:21+05:30"
115,188,216,17.6,118.99,994.06,1638298012041,"2021-12-01T00:16:52+05:30"
116,181,215,17.58,118.99,994.06,1638298042632,"2021-12-01T00:17:22+05:30"
114,190,215,17.57,118.99,994.05,1638298073229,"2021-12-01T00:17:53+05:30"
113,186,212,17.56,118.99,994.07,1638298103800,"2021-12-01T00:18:23+05:30"
113,184,212,17.57,118.99,994.05,1638298134365,"2021-12-01T00:18:54+05:30"
118,189,223,17.57,118.99,994.06,1638298164936,"2021-12-01T00:19:24+05:30"
115,187,215,17.57,118.99,994.04,1638298195559,"2021-12-01T00:19:55+05:30"
112,185,210,17.57,118.99,994.06,1638298226139,"2021-12-01T00:20:26+05:30"
113,183,213,17.56,118.99,994.07,1638298256695,"2021-12-01T00:20:56+05:30"
111,182,210,17.56,118.99,994.06,1638298287267,"2021-12-01T00:21:27+05:30"
110,180,211,17.56,118.99,994.04,1638298322082,"2021-12-01T00:22:02+05:30"
115,188,226,17.56,118.99,994.04,1638298350903,"2021-12-01T00:22:30+05:30"
113,181,215,17.53,118.99,994.01,1638298384431,"2021-12-01T00:23:04+05:30"
111,181,205,17.53,118.99,994.02,1638298412052,"2021-12-01T00:23:32+05:30"
109,176,204,17.54,118.99,994.02,1638298442656,"2021-12-01T00:24:02+05:30"
114,187,215,17.55,118.99,994.01,1638298473231,"2021-12-01T00:24:33+05:30"
113,184,214,17.56,118.99,993.99,1638298503792,"2021-12-01T00:25:03+05:30"
114,183,216,17.56,118.99,994,1638298534397,"2021-12-01T00:25:34+05:30"
114,184,214,17.54,118.99,994.01,1638298564956,"2021-12-01T00:26:04+05:30"
117,188,215,17.54,118.99,994.01,1638298595622,"2021-12-01T00:26:35+05:30"
116,189,213,17.54,118.99,994.03,1638298626307,"2021-12-01T00:27:06+05:30"
115,189,223,17.52,118.99,994.02,1638298647178,"2021-12-01T00:27:27+05:30"
116,188,213,17.49,118.99,994.03,1638298677809,"2021-12-01T00:27:57+05:30"
114,184,209,17.49,118.99,994.04,1638298708445,"2021-12-01T00:28:28+05:30"
114,187,217,17.48,118.99,994.06,1638298739357,"2021-12-01T00:28:59+05:30"
112,179,210,17.44,118.99,994.09,1638298769848,"2021-12-01T00:29:29+05:30"
115,182,208,17.43,118.99,994.11,1638298800436,"2021-12-01T00:30:00+05:30"
117,188,212,17.41,118.99,994.12,1638298831033,"2021-12-01T00:30:31+05:30"
114,188,212,17.41,118.99,994.12,1638298861581,"2021-12-01T00:31:01+05:30"
113,188,210,17.42,118.99,994.11,1638298892195,"2021-12-01T00:31:32+05:30"
115,190,218,17.41,118.99,994.13,1638298922780,"2021-12-01T00:32:02+05:30"
115,188,217,17.41,118.99,994.13,1638298953342,"2021-12-01T00:32:33+05:30"
115,185,217,17.41,118.99,994.13,1638298984086,"2021-12-01T00:33:04+05:30"
115,187,215,17.39,118.99,994.12,1638299014503,"2021-12-01T00:33:34+05:30"
116,187,217,17.38,118.99,994.13,1638299045096,"2021-12-01T00:34:05+05:30"
114,189,216,17.39,118.99,994.12,1638299075685,"2021-12-01T00:34:35+05:30"
113,184,213,17.4,118.99,994.12,1638299106221,"2021-12-01T00:35:06+05:30"
113,185,212,17.41,118.99,994.12,1638299136834,"2021-12-01T00:35:36+05:30"
110,181,213,17.45,118.99,994.12,1638299167418,"2021-12-01T00:36:07+05:30"
108,174,198,17.48,118.99,994.11,1638299201225,"2021-12-01T00:36:41+05:30"
108,174,198,17.52,118.99,994.1,1638299231682,"2021-12-01T00:37:11+05:30"
113,182,213,17.56,118.99,994.11,1638299262325,"2021-12-01T00:37:42+05:30"
111,175,210,17.59,118.99,994.1,1638299293035,"2021-12-01T00:38:13+05:30"
111,179,206,17.61,118.99,994.1,1638299323614,"2021-12-01T00:38:43+05:30"
111,181,206,17.64,118.99,994.09,1638299354288,"2021-12-01T00:39:14+05:30"
110,180,210,17.67,118.99,994.08,1638299384694,"2021-12-01T00:39:44+05:30"
109,179,211,17.71,118.99,994.09,1638299415510,"2021-12-01T00:40:15+05:30"
114,185,214,17.74,118.99,994.08,1638299445822,"2021-12-01T00:40:45+05:30"
111,181,212,17.78,118.99,994.08,1638299476501,"2021-12-01T00:41:16+05:30"
109,178,206,17.8,118.99,994.07,1638299507086,"2021-12-01T00:41:47+05:30"
110,174,202,17.81,118.99,994.06,1638299537582,"2021-12-01T00:42:17+05:30"
111,182,215,17.83,118.99,994.06,1638299568170,"2021-12-01T00:42:48+05:30"
108,178,203,17.83,118.99,994.05,1638299598771,"2021-12-01T00:43:18+05:30"
109,171,203,17.84,118.99,994.03,1638299629329,"2021-12-01T00:43:49+05:30"
107,169,197,17.86,118.99,994.03,1638299659877,"2021-12-01T00:44:19+05:30"
108,175,198,17.86,118.99,994.01,1638299690496,"2021-12-01T00:44:50+05:30"
107,176,202,17.85,118.99,993.98,1638299721113,"2021-12-01T00:45:21+05:30"
105,176,206,17.84,118.99,993.97,1638299751764,"2021-12-01T00:45:51+05:30"
108,176,206,17.82,118.99,993.95,1638299782191,"2021-12-01T00:46:22+05:30"
109,178,202,17.8,118.99,993.95,1638299812814,"2021-12-01T00:46:52+05:30"
106,174,199,17.8,118.99,993.94,1638299843392,"2021-12-01T00:47:23+05:30"
111,181,211,17.81,118.99,993.93,1638299873967,"2021-12-01T00:47:53+05:30"
109,179,205,17.82,118.99,993.94,1638299904507,"2021-12-01T00:48:24+05:30"
108,179,204,17.8,118.99,993.95,1638299935095,"2021-12-01T00:48:55+05:30"
109,181,212,17.8,118.99,993.96,1638299965688,"2021-12-01T00:49:25+05:30"
107,176,203,17.81,118.99,993.95,1638299997788,"2021-12-01T00:49:57+05:30"
108,176,204,17.81,118.99,993.97,1638300026849,"2021-12-01T00:50:26+05:30"
107,177,203,17.81,118.99,993.98,1638300057419,"2021-12-01T00:50:57+05:30"
108,177,209,17.81,118.99,994,1638300088040,"2021-12-01T00:51:28+05:30"
109,180,205,17.81,118.99,994.02,1638300109862,"2021-12-01T00:51:49+05:30"
107,178,203,17.8,118.99,994.03,1638300140917,"2021-12-01T00:52:20+05:30"
107,177,212,17.8,118.99,994.05,1638300171612,"2021-12-01T00:52:51+05:30"
107,176,204,17.79,118.99,994.06,1638300202215,"2021-12-01T00:53:22+05:30"
107,181,213,17.8,118.99,994.07,1638300232796,"2021-12-01T00:53:52+05:30"
107,179,203,17.81,118.99,994.08,1638300263630,"2021-12-01T00:54:23+05:30"
108,176,203,17.81,118.99,994.09,1638300294004,"2021-12-01T00:54:54+05:30"
107,178,211,17.83,118.99,994.1,1638300325181,"2021-12-01T00:55:25+05:30"
106,172,199,17.84,118.99,994.13,1638300355470,"2021-12-01T00:55:55+05:30"
109,178,206,17.84,118.99,994.13,1638300386033,"2021-12-01T00:56:26+05:30"
111,181,205,17.84,118.99,994.12,1638300416657,"2021-12-01T00:56:56+05:30"
109,179,204,17.84,118.99,994.13,1638300447235,"2021-12-01T00:57:27+05:30"
112,183,205,17.85,118.99,994.13,1638300477791,"2021-12-01T00:57:57+05:30"
108,173,194,17.84,118.99,994.13,1638300508426,"2021-12-01T00:58:28+05:30"
110,176,206,17.83,118.99,994.13,1638300538987,"2021-12-01T00:58:58+05:30"
108,177,204,17.83,118.99,994.13,1638300569567,"2021-12-01T00:59:29+05:30"
106,173,199,17.83,118.99,994.13,1638300600185,"2021-12-01T01:00:00+05:30"
110,181,207,17.83,118.99,994.13,1638300630727,"2021-12-01T01:00:30+05:30"
109,179,199,17.84,118.99,994.13,1638300661288,"2021-12-01T01:01:01+05:30"
109,179,208,17.85,118.99,994.13,1638300691880,"2021-12-01T01:01:31+05:30"
107,177,201,17.86,118.99,994.13,1638300722458,"2021-12-01T01:02:02+05:30"
109,176,197,17.88,118.99,994.15,1638300753026,"2021-12-01T01:02:33+05:30"
109,179,212,17.88,118.99,994.15,1638300783601,"2021-12-01T01:03:03+05:30"
112,179,210,17.88,118.99,994.18,1638300814199,"2021-12-01T01:03:34+05:30"
112,183,218,17.87,118.99,994.17,1638300844810,"2021-12-01T01:04:04+05:30"
109,185,218,17.85,118.99,994.16,1638300875406,"2021-12-01T01:04:35+05:30"
110,182,212,17.86,118.99,994.17,1638300905964,"2021-12-01T01:05:05+05:30"
106,176,200,17.88,118.99,994.16,1638300936536,"2021-12-01T01:05:36+05:30"
