"pm1_0","pm2_5","pm10","temp","humid","ps","createdAt","localtime"
33,47,65,23.65,71.16,986.52,1638705436801,"2021-12-05T17:27:16+05:30"
42,55,72,23.5,70.08,986.53,1638705457315,"2021-12-05T17:27:37+05:30"
41,50,60,23.33,70.24,986.56,1638705484993,"2021-12-05T17:28:04+05:30"
40,49,60,23.17,70.91,986.58,1638705535739,"2021-12-05T17:28:55+05:30"
38,48,58,23.04,71.7,986.59,1638705556297,"2021-12-05T17:29:16+05:30"
39,48,59,22.92,72.28,986.6,1638705577742,"2021-12-05T17:29:37+05:30"
41,50,61,22.81,72.81,986.6,1638705606967,"2021-12-05T17:30:06+05:30"
41,50,60,22.71,73.45,986.61,1638705657827,"2021-12-05T17:30:57+05:30"
41,50,60,22.63,73.98,986.61,1638705678567,"2021-12-05T17:31:18+05:30"
40,50,61,22.57,74.4,986.62,1638705699234,"2021-12-05T17:31:39+05:30"
40,49,61,22.75,76.12,986.62,1638705729414,"2021-12-05T17:32:09+05:30"
41,51,64,22.9,76.02,986.62,1638705759632,"2021-12-05T17:32:39+05:30"
43,57,76,23.01,75.1,986.61,1638705789677,"2021-12-05T17:33:09+05:30"
42,51,62,23.1,75.01,986.61,1638705820119,"2021-12-05T17:33:40+05:30"
41,52,65,23.15,74.53,986.61,1638705870960,"2021-12-05T17:34:30+05:30"
43,52,64,23.19,74.19,986.61,1638705891475,"2021-12-05T17:34:51+05:30"
42,52,64,23.21,73.54,986.61,1638705912133,"2021-12-05T17:35:12+05:30"
41,55,70,23.22,73.48,986.62,1638705942629,"2021-12-05T17:35:42+05:30"
40,50,61,23.16,73.22,986.61,1638705993378,"2021-12-05T17:36:33+05:30"
41,50,60,23.13,73.29,986.61,1638706015688,"2021-12-05T17:36:55+05:30"
41,50,62,23.23,73.68,986.63,1638706034808,"2021-12-05T17:37:14+05:30"
43,51,63,23.19,72.53,986.62,1638706065315,"2021-12-05T17:37:45+05:30"
46,56,67,23.04,69.74,986.63,1638706095436,"2021-12-05T17:38:15+05:30"
47,57,68,22.92,67.79,986.6,1638706126287,"2021-12-05T17:38:46+05:30"
47,56,68,22.85,67.44,986.61,1638706156499,"2021-12-05T17:39:16+05:30"
42,51,63,22.88,69.7,986.62,1638706187087,"2021-12-05T17:39:47+05:30"
43,52,65,22.87,70.74,986.63,1638706217258,"2021-12-05T17:40:17+05:30"
46,55,67,22.76,69.09,986.63,1638706248534,"2021-12-05T17:40:48+05:30"
46,56,67,22.7,68.77,986.62,1638706278146,"2021-12-05T17:41:18+05:30"
46,54,67,22.65,69.92,986.62,1638706308520,"2021-12-05T17:41:48+05:30"
45,54,66,22.59,70.87,986.62,1638706338991,"2021-12-05T17:42:18+05:30"
46,54,66,22.52,71.07,986.61,1638706369163,"2021-12-05T17:42:49+05:30"
46,56,67,22.49,70.69,986.62,1638706399593,"2021-12-05T17:43:19+05:30"
45,56,67,22.45,70.64,986.63,1638706450225,"2021-12-05T17:44:10+05:30"
46,54,66,22.42,70.56,986.64,1638706470974,"2021-12-05T17:44:30+05:30"
46,52,65,22.41,70.77,986.65,1638706491653,"2021-12-05T17:44:51+05:30"
44,51,63,22.39,70.84,986.65,1638706542454,"2021-12-05T17:45:42+05:30"
44,51,64,22.38,70.69,986.64,1638706563002,"2021-12-05T17:46:03+05:30"
44,53,65,22.37,70.56,986.64,1638706583544,"2021-12-05T17:46:23+05:30"
45,53,66,22.36,70.64,986.65,1638706613765,"2021-12-05T17:46:53+05:30"
45,54,67,22.35,70.8,986.66,1638706664609,"2021-12-05T17:47:44+05:30"
46,54,66,22.33,70.15,986.68,1638706685137,"2021-12-05T17:48:05+05:30"
45,54,66,22.34,70.47,986.67,1638706705671,"2021-12-05T17:48:25+05:30"
43,53,66,22.36,71.38,986.68,1638706735543,"2021-12-05T17:48:55+05:30"
41,50,61,22.49,73.81,986.69,1638706786383,"2021-12-05T17:49:46+05:30"
40,50,61,22.53,74.67,986.7,1638706806898,"2021-12-05T17:50:06+05:30"
40,49,61,22.54,74.94,986.72,1638706827717,"2021-12-05T17:50:27+05:30"
41,50,62,22.57,75.15,986.73,1638706858500,"2021-12-05T17:50:58+05:30"
39,49,60,22.72,75.66,986.72,1638706888862,"2021-12-05T17:51:28+05:30"
39,48,59,22.85,75.33,986.72,1638706939675,"2021-12-05T17:52:19+05:30"
38,48,59,22.93,74.92,986.74,1638706960213,"2021-12-05T17:52:40+05:30"
41,51,62,22.88,74.39,986.75,1638706981420,"2021-12-05T17:53:01+05:30"
41,51,62,22.83,74.45,986.75,1638707032222,"2021-12-05T17:53:52+05:30"
42,52,63,22.8,74.59,986.75,1638707052736,"2021-12-05T17:54:12+05:30"
42,52,63,22.77,74.77,986.76,1638707073744,"2021-12-05T17:54:33+05:30"
42,52,64,22.75,74.93,986.76,1638707124678,"2021-12-05T17:55:24+05:30"
43,52,65,22.75,75.13,986.79,1638707145165,"2021-12-05T17:55:45+05:30"
43,51,63,22.72,75.21,986.8,1638707165805,"2021-12-05T17:56:05+05:30"
42,51,62,22.7,75.32,986.8,1638707196309,"2021-12-05T17:56:36+05:30"
41,51,62,22.69,75.36,986.81,1638707226477,"2021-12-05T17:57:06+05:30"
42,51,63,22.68,75.41,986.82,1638707277269,"2021-12-05T17:57:57+05:30"
42,50,61,22.68,75.51,986.83,1638707297828,"2021-12-05T17:58:17+05:30"
42,50,61,22.68,75.51,986.83,1638707299919,"2021-12-05T17:58:19+05:30"
42,50,61,22.68,75.51,986.83,1638707300915,"2021-12-05T17:58:20+05:30"
41,50,61,22.68,75.57,986.84,1638707318377,"2021-12-05T17:58:38+05:30"
40,51,62,22.69,75.66,986.84,1638707349258,"2021-12-05T17:59:09+05:30"
41,50,61,22.7,75.75,986.84,1638707379497,"2021-12-05T17:59:39+05:30"
41,51,62,22.69,75.69,986.84,1638707410997,"2021-12-05T18:00:10+05:30"
41,51,63,22.69,75.78,986.86,1638707440983,"2021-12-05T18:00:40+05:30"
41,51,62,22.7,75.84,986.87,1638707471133,"2021-12-05T18:01:11+05:30"
40,49,60,22.69,75.77,986.89,1638707501517,"2021-12-05T18:01:41+05:30"
40,50,61,22.7,75.84,986.9,1638707532574,"2021-12-05T18:02:12+05:30"
41,50,61,22.7,75.92,986.91,1638707562455,"2021-12-05T18:02:42+05:30"
