"pm1_0","pm2_5","pm10","temp","humid","ps","createdAt","localtime"
253,378,412,20.14,60.54,995.53,1638327999823,"2021-12-01T08:36:39+05:30"
233,357,403,20.33,60.09,995.63,1638328010001,"2021-12-01T08:36:50+05:30"
167,293,352,20.67,58.89,996.02,1638328040563,"2021-12-01T08:37:20+05:30"
161,283,334,20.92,57.56,996.25,1638328071234,"2021-12-01T08:37:51+05:30"
165,287,341,21.07,56.61,996.44,1638328101830,"2021-12-01T08:38:21+05:30"
167,292,355,21.18,56.22,996.52,1638328132513,"2021-12-01T08:38:52+05:30"
167,291,357,21.24,55.85,996.59,1638328162981,"2021-12-01T08:39:22+05:30"
167,287,343,21.31,55.7,996.6,1638328193578,"2021-12-01T08:39:53+05:30"
165,295,353,21.37,55.59,996.61,1638328224142,"2021-12-01T08:40:24+05:30"
160,311,431,21.4,55.18,996.69,1638328254979,"2021-12-01T08:40:54+05:30"
160,324,446,21.41,54.88,996.76,1638328285582,"2021-12-01T08:41:25+05:30"
164,319,407,21.43,54.74,996.78,1638328315983,"2021-12-01T08:41:55+05:30"
165,313,392,21.43,54.54,996.84,1638328346570,"2021-12-01T08:42:26+05:30"
166,297,358,21.39,54.34,996.89,1638328377139,"2021-12-01T08:42:57+05:30"
166,307,383,21.42,54.51,996.84,1638328407742,"2021-12-01T08:43:27+05:30"
166,303,374,21.47,54.27,996.89,1638328438304,"2021-12-01T08:43:58+05:30"
168,298,354,21.5,54.36,996.86,1638328469424,"2021-12-01T08:44:29+05:30"
167,290,338,21.53,54.4,996.84,1638328499461,"2021-12-01T08:44:59+05:30"
165,285,328,21.55,54.38,996.82,1638328530055,"2021-12-01T08:45:30+05:30"
167,278,319,21.56,54.46,996.79,1638328560648,"2021-12-01T08:46:00+05:30"
166,289,335,21.53,54.2,996.84,1638328591220,"2021-12-01T08:46:31+05:30"
167,283,325,21.55,54.16,996.83,1638328621903,"2021-12-01T08:47:01+05:30"
175,303,344,21.58,54.19,996.78,1638328652368,"2021-12-01T08:47:32+05:30"
180,308,355,21.58,54.34,996.71,1638328683010,"2021-12-01T08:48:03+05:30"
170,284,326,21.54,54.17,996.77,1638328713517,"2021-12-01T08:48:33+05:30"
160,276,320,21.56,54.45,996.67,1638328744100,"2021-12-01T08:49:04+05:30"
158,272,308,21.58,54.19,996.73,1638328774760,"2021-12-01T08:49:34+05:30"
162,275,310,21.59,54.24,996.7,1638328805400,"2021-12-01T08:50:05+05:30"
155,268,303,21.61,54.09,996.74,1638328835892,"2021-12-01T08:50:35+05:30"
151,257,293,21.61,54.25,996.67,1638328866476,"2021-12-01T08:51:06+05:30"
151,257,290,21.62,54.49,996.58,1638328899415,"2021-12-01T08:51:39+05:30"
154,262,296,21.64,54.3,996.62,1638328920370,"2021-12-01T08:52:00+05:30"
153,267,312,21.67,54.22,996.63,1638328950790,"2021-12-01T08:52:30+05:30"
153,266,319,21.71,54.17,996.64,1638328981356,"2021-12-01T08:53:01+05:30"
151,249,293,21.77,54.32,996.57,1638329011951,"2021-12-01T08:53:31+05:30"
148,257,298,21.82,54.13,996.61,1638329042520,"2021-12-01T08:54:02+05:30"
150,255,298,21.86,53.69,996.71,1638329073251,"2021-12-01T08:54:33+05:30"
148,256,300,21.89,53.41,996.79,1638329103769,"2021-12-01T08:55:03+05:30"
147,250,288,21.87,53.19,996.87,1638329134340,"2021-12-01T08:55:34+05:30"
148,247,287,21.83,52.94,996.93,1638329164921,"2021-12-01T08:56:04+05:30"
147,246,279,21.81,53.18,996.88,1638329195494,"2021-12-01T08:56:35+05:30"
145,244,277,21.82,53.14,996.9,1638329226086,"2021-12-01T08:57:06+05:30"
144,243,272,21.84,53.15,996.91,1638329256728,"2021-12-01T08:57:36+05:30"
146,244,277,21.85,52.89,996.98,1638329287334,"2021-12-01T08:58:07+05:30"
145,242,276,21.88,52.96,996.96,1638329317836,"2021-12-01T08:58:37+05:30"
142,236,277,21.89,52.81,997.02,1638329348418,"2021-12-01T08:59:08+05:30"
146,239,271,21.9,52.77,997.05,1638329378986,"2021-12-01T08:59:38+05:30"
146,240,271,21.89,52.58,997.1,1638329409594,"2021-12-01T09:00:09+05:30"
143,241,272,21.88,52.53,997.12,1638329440136,"2021-12-01T09:00:40+05:30"
142,239,269,21.87,52.3,997.2,1638329470720,"2021-12-01T09:01:10+05:30"
143,233,262,21.85,52.28,997.22,1638329501388,"2021-12-01T09:01:41+05:30"
140,234,266,21.84,52.37,997.18,1638329531994,"2021-12-01T09:02:11+05:30"
139,235,262,21.83,52.4,997.18,1638329562555,"2021-12-01T09:02:42+05:30"
141,236,269,21.86,52.47,997.14,1638329593168,"2021-12-01T09:03:13+05:30"
141,232,266,21.88,52.35,997.16,1638329623723,"2021-12-01T09:03:43+05:30"
141,239,269,21.89,52.23,997.2,1638329654303,"2021-12-01T09:04:14+05:30"
140,233,269,21.89,52.26,997.22,1638329685993,"2021-12-01T09:04:45+05:30"
140,235,265,21.88,52.24,997.23,1638329715448,"2021-12-01T09:05:15+05:30"
139,235,263,21.9,52.39,997.18,1638329746047,"2021-12-01T09:05:46+05:30"
143,242,273,21.9,52.5,997.15,1638329776615,"2021-12-01T09:06:16+05:30"
141,238,270,21.91,52.52,997.16,1638329802756,"2021-12-01T09:06:42+05:30"
139,234,262,21.93,52.58,997.14,1638329833214,"2021-12-01T09:07:13+05:30"
143,238,271,21.95,52.79,997.09,1638329863773,"2021-12-01T09:07:43+05:30"
140,240,274,21.96,52.88,997.07,1638329894342,"2021-12-01T09:08:14+05:30"
143,241,270,22,52.86,997.07,1638329924936,"2021-12-01T09:08:44+05:30"
148,250,284,22.04,53.07,997.02,1638329955503,"2021-12-01T09:09:15+05:30"
150,251,280,22.08,53.17,996.98,1638329986134,"2021-12-01T09:09:46+05:30"
149,247,281,22.08,52.83,997.09,1638330016660,"2021-12-01T09:10:16+05:30"
145,246,283,22.09,52.77,997.13,1638330047263,"2021-12-01T09:10:47+05:30"
147,248,281,22.1,52.7,997.17,1638330077837,"2021-12-01T09:11:17+05:30"
149,252,286,22.09,52.73,997.17,1638330108402,"2021-12-01T09:11:48+05:30"
145,254,288,22.07,52.66,997.2,1638330138993,"2021-12-01T09:12:18+05:30"
148,253,291,22.07,52.68,997.21,1638330169563,"2021-12-01T09:12:49+05:30"
146,250,277,22.07,52.69,997.21,1638330200143,"2021-12-01T09:13:20+05:30"
149,247,275,22.08,52.81,997.18,1638330230722,"2021-12-01T09:13:50+05:30"
145,249,278,22.07,52.72,997.22,1638330261314,"2021-12-01T09:14:21+05:30"
146,253,286,22.07,52.67,997.26,1638330291883,"2021-12-01T09:14:51+05:30"
147,245,275,22.06,52.72,997.25,1638330322539,"2021-12-01T09:15:22+05:30"
142,245,279,22.06,52.81,997.22,1638330353064,"2021-12-01T09:15:53+05:30"
146,245,279,22.06,52.7,997.28,1638330383661,"2021-12-01T09:16:23+05:30"
146,247,274,22.08,52.79,997.27,1638330414200,"2021-12-01T09:16:54+05:30"
144,247,280,22.09,52.77,997.29,1638330444915,"2021-12-01T09:17:24+05:30"
146,245,278,22.13,52.9,997.26,1638330475392,"2021-12-01T09:17:55+05:30"
147,244,279,22.17,52.86,997.26,1638330505991,"2021-12-01T09:18:25+05:30"
147,241,276,22.21,52.88,997.26,1638330536543,"2021-12-01T09:18:56+05:30"
147,252,292,22.23,52.77,997.32,1638330567180,"2021-12-01T09:19:27+05:30"
149,255,285,22.24,52.64,997.4,1638330597773,"2021-12-01T09:19:57+05:30"
155,260,295,22.25,52.41,997.49,1638330628305,"2021-12-01T09:20:28+05:30"
157,265,297,22.25,52.32,997.55,1638330658865,"2021-12-01T09:20:58+05:30"
171,297,333,22.24,51.93,997.7,1638330689443,"2021-12-01T09:21:29+05:30"
170,285,324,22.2,52.06,997.71,1638330721323,"2021-12-01T09:22:01+05:30"
171,296,335,22.17,52.04,997.73,1638330751939,"2021-12-01T09:22:31+05:30"
167,284,329,22.16,52.34,997.66,1638330782479,"2021-12-01T09:23:02+05:30"
171,295,333,22.12,52.6,997.59,1638330813055,"2021-12-01T09:23:33+05:30"
171,296,333,22.16,53.1,997.39,1638330843636,"2021-12-01T09:24:03+05:30"
168,284,313,22.2,52.85,997.39,1638330982765,"2021-12-01T09:26:22+05:30"
157,263,293,22.03,52.36,997.73,1638331557859,"2021-12-01T09:35:57+05:30"
157,265,307,22.03,52.41,997.71,1638331568517,"2021-12-01T09:36:08+05:30"
160,271,312,22.06,52.68,997.63,1638331639647,"2021-12-01T09:37:19+05:30"
160,273,305,22.09,52.91,997.54,1638331659764,"2021-12-01T09:37:39+05:30"
156,264,302,22.12,53.1,997.46,1638331690367,"2021-12-01T09:38:10+05:30"
161,274,301,22.14,52.97,997.51,1638331720965,"2021-12-01T09:38:40+05:30"
162,266,303,22.17,52.89,997.55,1638331751548,"2021-12-01T09:39:11+05:30"
159,271,307,22.19,52.74,997.64,1638331782108,"2021-12-01T09:39:42+05:30"
159,279,326,22.21,52.84,997.65,1638331812716,"2021-12-01T09:40:12+05:30"
152,310,417,22.23,52.85,997.68,1638331843313,"2021-12-01T09:40:43+05:30"
159,344,497,22.21,52.73,997.76,1638331873866,"2021-12-01T09:41:13+05:30"
160,363,564,22.23,52.86,997.76,1638331904447,"2021-12-01T09:41:44+05:30"
159,336,492,22.21,52.68,997.85,1638331935020,"2021-12-01T09:42:15+05:30"
157,368,568,22.25,53.06,997.76,1638331965588,"2021-12-01T09:42:45+05:30"
158,378,602,22.28,53.05,997.75,1638331996215,"2021-12-01T09:43:16+05:30"
160,369,584,22.28,53.01,997.77,1638332026779,"2021-12-01T09:43:46+05:30"
160,347,509,22.28,53.08,997.75,1638332057329,"2021-12-01T09:44:17+05:30"
168,316,424,22.26,53.03,997.79,1638332087906,"2021-12-01T09:44:47+05:30"
172,316,405,22.28,53.14,997.73,1638332119165,"2021-12-01T09:45:19+05:30"
168,301,364,22.37,53.02,997.71,1638332219375,"2021-12-01T09:46:59+05:30"
165,299,359,22.4,53.01,997.71,1638332249720,"2021-12-01T09:47:29+05:30"
172,300,365,22.41,52.98,997.73,1638332280561,"2021-12-01T09:48:00+05:30"
182,311,368,22.43,52.94,997.73,1638332310977,"2021-12-01T09:48:30+05:30"
180,310,366,22.45,52.87,997.75,1638332341449,"2021-12-01T09:49:01+05:30"
171,297,347,22.48,52.84,997.76,1638332372175,"2021-12-01T09:49:32+05:30"
168,289,337,22.51,52.75,997.8,1638332402647,"2021-12-01T09:50:02+05:30"
161,285,330,22.53,52.48,997.87,1638332433349,"2021-12-01T09:50:33+05:30"
167,289,332,22.55,52.56,997.85,1638332463808,"2021-12-01T09:51:03+05:30"
165,284,329,22.55,52.44,997.89,1638332494489,"2021-12-01T09:51:34+05:30"
165,286,338,22.53,52.25,997.95,1638332524962,"2021-12-01T09:52:04+05:30"
163,281,320,22.52,52.47,997.88,1638332555529,"2021-12-01T09:52:35+05:30"
161,272,317,22.52,52.46,997.88,1638332586098,"2021-12-01T09:53:06+05:30"
158,276,310,22.52,52.44,997.85,1638332616714,"2021-12-01T09:53:36+05:30"
161,273,314,22.53,52.34,997.89,1638332647288,"2021-12-01T09:54:07+05:30"
161,272,312,22.52,52.37,997.87,1638332677871,"2021-12-01T09:54:37+05:30"
163,274,306,22.51,52.29,997.89,1638332708437,"2021-12-01T09:55:08+05:30"
159,276,318,22.52,52.4,997.84,1638332739065,"2021-12-01T09:55:39+05:30"
159,271,309,22.51,52.33,997.85,1638332769684,"2021-12-01T09:56:09+05:30"
158,274,316,22.48,52.34,997.84,1638332801388,"2021-12-01T09:56:41+05:30"
158,274,315,22.49,52.44,997.79,1638332830808,"2021-12-01T09:57:10+05:30"
159,276,319,22.48,52.43,997.79,1638332861377,"2021-12-01T09:57:41+05:30"
162,281,329,22.47,52.42,997.79,1638332892674,"2021-12-01T09:58:12+05:30"
166,285,327,22.46,52.65,997.7,1638332922966,"2021-12-01T09:58:42+05:30"
165,283,323,22.47,52.77,997.65,1638332953187,"2021-12-01T09:59:13+05:30"
163,287,322,22.43,52.7,997.65,1638332983802,"2021-12-01T09:59:43+05:30"
166,286,328,22.38,53.05,997.53,1638333014333,"2021-12-01T10:00:14+05:30"
167,286,324,22.34,53.43,997.36,1638333046136,"2021-12-01T10:00:46+05:30"
219,432,503,22.37,53.74,997.25,1638333076593,"2021-12-01T10:01:16+05:30"
256,508,603,22.36,53.44,997.32,1638333107264,"2021-12-01T10:01:47+05:30"
297,620,721,22.41,53.65,997.24,1638333137917,"2021-12-01T10:02:17+05:30"
263,518,606,22.47,53.63,997.22,1638333168419,"2021-12-01T10:02:48+05:30"
234,441,509,22.49,53.58,997.2,1638333199030,"2021-12-01T10:03:19+05:30"
239,457,524,22.5,53.36,997.27,1638333229829,"2021-12-01T10:03:49+05:30"
233,438,508,22.47,53.4,997.28,1638333260155,"2021-12-01T10:04:20+05:30"
227,434,502,22.46,53.68,997.19,1638333290742,"2021-12-01T10:04:50+05:30"
202,357,413,22.43,54.36,996.97,1638333321663,"2021-12-01T10:05:21+05:30"
225,434,502,22.41,54.13,997.03,1638333351917,"2021-12-01T10:05:51+05:30"
274,892,1165,22.4,54.21,997.02,1638333382501,"2021-12-01T10:06:22+05:30"
269,1037,1439,22.49,54.15,997.02,1638333413101,"2021-12-01T10:06:53+05:30"
274,1023,1382,22.55,53.88,997.12,1638333443761,"2021-12-01T10:07:23+05:30"
266,1088,1514,22.58,53.67,997.17,1638333474290,"2021-12-01T10:07:54+05:30"
261,1073,1500,22.61,53.41,997.24,1638333504901,"2021-12-01T10:08:24+05:30"
261,715,928,22.65,53.42,997.25,1638333535690,"2021-12-01T10:08:55+05:30"
268,684,867,22.71,53.33,997.27,1638333566076,"2021-12-01T10:09:26+05:30"
259,1027,1426,22.75,53.2,997.3,1638333596696,"2021-12-01T10:09:56+05:30"
262,704,910,22.75,52.48,997.51,1638333627301,"2021-12-01T10:10:27+05:30"
240,587,746,22.73,52.21,997.6,1638333657871,"2021-12-01T10:10:57+05:30"
256,721,949,22.69,52.27,997.57,1638333688482,"2021-12-01T10:11:28+05:30"
260,818,1092,22.7,52.42,997.49,1638333719076,"2021-12-01T10:11:59+05:30"
250,672,864,22.67,52.24,997.54,1638333749661,"2021-12-01T10:12:29+05:30"
260,753,986,22.72,52.67,997.37,1638333782409,"2021-12-01T10:13:02+05:30"
