From Date,To Date,pm2_5,pm10,NO,NO2,NOx
01-10-2021 00:00,01-10-2021 00:15,36,59,16.9,23.4,40.3
01-10-2021 00:15,01-10-2021 00:30,36,59,10.2,19.7,29.9
01-10-2021 00:30,01-10-2021 00:45,36,59,7.7,22.2,29.9
01-10-2021 00:45,01-10-2021 01:00,36,59,11.6,28.3,39.8
01-10-2021 01:00,01-10-2021 01:15,35,70,8.1,27.2,35.3
01-10-2021 01:15,01-10-2021 01:30,35,70,29.8,19.6,49.3
01-10-2021 01:30,01-10-2021 01:45,35,70,52.9,18.9,72.3
01-10-2021 01:45,01-10-2021 02:00,35,70,27.3,15.7,43
01-10-2021 02:00,01-10-2021 02:15,38,63,None,None,None
01-10-2021 02:15,01-10-2021 02:30,38,63,None,None,None
01-10-2021 02:30,01-10-2021 02:45,38,63,None,None,None
01-10-2021 02:45,01-10-2021 03:00,38,63,7.8,20.4,28.2
01-10-2021 03:00,01-10-2021 03:15,41,69,8.3,16.6,24.9
01-10-2021 03:15,01-10-2021 03:30,41,69,14.7,18.9,33.6
01-10-2021 03:30,01-10-2021 03:45,41,69,20.7,19.7,40.4
01-10-2021 03:45,01-10-2021 04:00,41,69,24.7,22.8,47.5
01-10-2021 04:00,01-10-2021 04:15,44,77,24.2,18.2,42.4
01-10-2021 04:15,01-10-2021 04:30,44,77,26.8,16.3,43
01-10-2021 04:30,01-10-2021 04:45,44,77,23.4,14,37.4
01-10-2021 04:45,01-10-2021 05:00,44,77,25.1,15.7,40.8
01-10-2021 05:00,01-10-2021 05:15,39,69,62.5,13.2,75.6
01-10-2021 05:15,01-10-2021 05:30,39,69,60.9,15,75.9
01-10-2021 05:30,01-10-2021 05:45,39,69,46.6,16.1,62.7
01-10-2021 05:45,01-10-2021 06:00,39,69,29.6,14.1,43.7
01-10-2021 06:00,01-10-2021 06:15,39,63,50.2,15.3,65.5
01-10-2021 06:15,01-10-2021 06:30,39,63,64,14.6,78.6
01-10-2021 06:30,01-10-2021 06:45,39,63,44.3,16.5,60.8
01-10-2021 06:45,01-10-2021 07:00,39,63,38.5,16.1,54.7
01-10-2021 07:00,01-10-2021 07:15,46,70,39.4,18.2,57.6
01-10-2021 07:15,01-10-2021 07:30,46,70,57.3,21.6,79
01-10-2021 07:30,01-10-2021 07:45,46,70,77.8,22.5,100.3
01-10-2021 07:45,01-10-2021 08:00,46,70,48.6,30.9,79.5
01-10-2021 08:00,01-10-2021 08:15,52,103,34.6,34.8,69.4
01-10-2021 08:15,01-10-2021 08:30,52,103,21.4,37.6,59
01-10-2021 08:30,01-10-2021 08:45,52,103,13.2,29.9,43.2
01-10-2021 08:45,01-10-2021 09:00,52,103,7.7,26.8,34.4
01-10-2021 09:00,01-10-2021 09:15,53,84,6.6,23.6,30.2
01-10-2021 09:15,01-10-2021 09:30,53,84,5.3,21.4,26.7
01-10-2021 09:30,01-10-2021 09:45,53,84,5.5,21.3,26.8
01-10-2021 09:45,01-10-2021 10:00,53,84,8.8,17,25.8
01-10-2021 10:00,01-10-2021 10:15,36,72,5.5,20.7,26.2
01-10-2021 10:15,01-10-2021 10:30,36,72,5.9,22,27.9
