From Date,To Date,PM2.5,PM10,NO,NO2,NOx



From Date,To Date,NH3,SO2,CO,Ozone,Benzene
01-11-2021 00:00,01-11-2021 00:15,45.6,0.1,0.9,None,0.4
01-11-2021 00:15,01-11-2021 00:30,45.8,None,1,None,0.4
01-11-2021 00:30,01-11-2021 00:45,45.1,0.2,1,None,0.4
01-11-2021 00:45,01-11-2021 01:00,45.7,0.2,1,None,0.5
01-11-2021 01:00,01-11-2021 01:15,43.5,None,1,None,0.5
01-11-2021 01:15,01-11-2021 01:30,47.8,0.1,0.9,None,0.5
01-11-2021 01:30,01-11-2021 01:45,44.8,0.1,0.9,None,0.4
01-11-2021 01:45,01-11-2021 02:00,40.8,None,1,None,0.4
01-11-2021 02:00,01-11-2021 02:15,None,None,None,None,0.5
01-11-2021 02:15,01-11-2021 02:30,None,None,None,None,0.5
01-11-2021 02:30,01-11-2021 02:45,None,None,None,None,0.6
01-11-2021 02:45,01-11-2021 03:00,43.3,0.4,1.1,None,0.5
01-11-2021 03:00,01-11-2021 03:15,41.4,0.4,1.1,None,0.5
01-11-2021 03:15,01-11-2021 03:30,39,0.6,1.1,None,0.6
01-11-2021 03:30,01-11-2021 03:45,38.4,0.8,1.1,None,0.5
01-11-2021 03:45,01-11-2021 04:00,39.9,0.5,1,None,0.6
01-11-2021 04:00,01-11-2021 04:15,41,0.6,1,None,0.5
01-11-2021 04:15,01-11-2021 04:30,39.7,0.7,1,None,0.5
01-11-2021 04:30,01-11-2021 04:45,38.9,0.7,0.9,None,0.6
01-11-2021 04:45,01-11-2021 05:00,40.6,0.6,0.9,None,0.5
01-11-2021 05:00,01-11-2021 05:15,41.7,0.8,0.9,None,0.5
01-11-2021 05:15,01-11-2021 05:30,41.5,0.8,0.9,0.4,0.6
01-11-2021 05:30,01-11-2021 05:45,39.6,0.9,0.9,0.2,0.6
01-11-2021 05:45,01-11-2021 06:00,39,0.8,1,None,0.6
01-11-2021 06:00,01-11-2021 06:15,38.3,0.8,1,None,0.6
01-11-2021 06:15,01-11-2021 06:30,38,0.8,1,0.2,0.6
01-11-2021 06:30,01-11-2021 06:45,33,0.9,1.1,None,0.6
01-11-2021 06:45,01-11-2021 07:00,36.6,1,1.2,0.1,0.7
01-11-2021 07:00,01-11-2021 07:15,40,1,1.3,None,0.8
01-11-2021 07:15,01-11-2021 07:30,42.1,1.1,1.3,None,0.8
01-11-2021 07:30,01-11-2021 07:45,39.3,1.1,1.3,None,0.7
01-11-2021 07:45,01-11-2021 08:00,38.8,None,1.3,None,0.8
01-11-2021 08:00,01-11-2021 08:15,46.1,1.1,1.3,None,0.9
01-11-2021 08:15,01-11-2021 08:30,51.8,0.9,1.3,None,0.8
01-11-2021 08:30,01-11-2021 08:45,55.2,1.1,1.2,None,0.7
01-11-2021 08:45,01-11-2021 09:00,51.2,1.2,1.2,None,0.7
01-11-2021 09:00,01-11-2021 09:15,49.5,1.4,1,None,0.7
01-11-2021 09:15,01-11-2021 09:30,53.2,1.8,0.8,None,0.6
01-11-2021 09:30,01-11-2021 09:45,48.6,1.9,0.7,None,0.5
01-11-2021 09:45,01-11-2021 10:00,47.1,2,0.6,None,0.5
