S.No,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
1,17-Oct-2021 - 00:00,17-Oct-2021 - 01:00,223.5,388.5,139.18,113.1,173.93,51.57,17.05,1.75,6.22,9.5,89.22,,62.98,0.3,289.67,4.12,981.92,27.3,0.0
2,17-Oct-2021 - 01:00,17-Oct-2021 - 02:00,240.5,432.5,159.62,98.65,182.85,63.2,12.3,1.85,8.4,10.43,87.07,,64.15,0.3,289.67,4.1,981.98,27.17,0.0
3,17-Oct-2021 - 02:00,17-Oct-2021 - 03:00,250.25,429.0,99.7,90.3,129.3,57.0,8.0,1.6,9.62,10.47,120.33,,63.83,0.3,289.4,4.15,981.85,27.3,0.0
4,17-Oct-2021 - 03:00,17-Oct-2021 - 04:00,243.5,404.5,72.2,88.28,105.78,54.93,9.73,1.25,21.55,12.73,122.3,,63.95,0.3,289.38,4.15,981.7,27.45,0.0
5,17-Oct-2021 - 04:00,17-Oct-2021 - 05:00,211.75,353.75,49.57,78.3,82.17,43.9,11.73,0.73,19.23,10.05,106.32,,64.92,0.3,289.75,4.1,981.73,27.1,0.0
6,17-Oct-2021 - 05:00,17-Oct-2021 - 06:00,151.0,276.0,30.1,65.9,59.58,36.98,11.07,0.43,8.93,7.32,83.55,,65.93,0.3,289.2,4.15,982.3,26.9,0.0
7,17-Oct-2021 - 06:00,17-Oct-2021 - 07:00,124.75,228.5,17.68,55.1,43.73,38.73,10.12,0.8,9.7,5.62,72.78,,70.03,0.95,226.8,5.78,983.27,25.82,0.5
8,17-Oct-2021 - 07:00,17-Oct-2021 - 08:00,98.75,170.75,19.82,59.15,47.58,38.22,8.92,0.8,14.38,4.62,54.1,,76.88,1.27,193.9,37.6,983.9,24.52,0.0
9,17-Oct-2021 - 08:00,17-Oct-2021 - 09:00,89.25,119.0,6.83,49.7,32.02,48.6,6.85,0.57,26.52,4.35,47.1,,71.9,1.12,167.77,86.15,984.38,25.62,0.0
10,17-Oct-2021 - 09:00,17-Oct-2021 - 10:00,77.0,107.0,3.67,43.05,25.85,58.47,5.78,0.57,36.55,3.9,45.38,,67.38,1.15,170.03,101.38,984.97,27.27,0.0
